#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
"Of the 12 temporary employees in a certain company, 4 will be hired as permanent employees.  If 5 of the 12 temporary employees are women, how many of the possible groups of 4 temporary employees consist of 3 women and 1 man?",22,35,56,70,105,D,,GMAT::Quant::ProblemSolving
"The figure shown represents a piece of land that is in the shape of a quarter circle.  If the land is enclosed by a fence, which of the following is closest to the length, in feet, of the fence?",278,341,357,400,441,C,,GMAT::Quant::ProblemSolving
Which of the following is equal to the value of 2^5+ 2^5 + 3^5 + 3^5 + 3^5 ?,5^6,13^5,2^6 + 3^6,2^7 + 3^8,4^5 + 9^5,C,,GMAT::Quant::ProblemSolving
"The total cost of a vacation was divided equally among 3 people.  If the total cost of the vacation had been divided equally among 4 people, the cost per person would have been $50 less.  What was the total cost of the vacation?",$200,$300,$400,$500,$600,E,,GMAT::Quant::ProblemSolving
The table shows the number of red blood cells per cubic millimeter of blood for each of five people.  What is the median number of red blood cells per cubic millimeter of blood for these people?,"4,600,000","5,000,000","5,020,000","5,150,000","5,300,000",B,,GMAT::Quant::ProblemSolving
"The table above shows the number of days worked by a certain sales representative in each of three months last year.  If the number of sales calls that the representative made each month was proportional to the number of days worked in that month and if the representative made a total of 168 sales calls in the three months shown, how many sales calls did the representative make in August?",50,51,56,57,60,D,,GMAT::Quant::ProblemSolving
"If the speed of x meters per second is equivalent to the speed of y kilometers per hour, what is y in terms of x ?<br><br>(1 kilometer = 1,000 meters)",5x/18,6x/5,18x/5,60x,"3,600,000x",C,,GMAT::Quant::ProblemSolving
"If d is the standard deviation of x, y, and z, what is the standard deviation of x + 5, y + 5, and z + 5 ?",d,3d,15d,d + 5,d + 15,A,,GMAT::Quant::ProblemSolving
"A student worked for 20 days.  For each of the amounts shown in the first row of the table, the second row gives the number of days that the student earned that amount.  What is the median amount of money that the student earned per day for the 20 days?",$96,$84,$80,$70,$48,B,,GMAT::Quant::ProblemSolving
"A 4-person task force is to be formed from the 4 men and 3 women who work in Company G&#x27;s human resources department.  If there are to be 2 men and 2 women on this task force, how many different task forces can be formed?",14,18,35,56,144,B,,GMAT::Quant::ProblemSolving
"For each of her sales, a saleswoman receives a commission equal to 20 percent of the first $500 of the total amount of the sale, plus 30 percent of the total amount of the sale in excess of $500.  If the total amount of one of her sales was $800, the saleswoman&#x27;s commission was approximately what percent of the total amount of the sale?",22%,24%,25%,27%,28%,B,,GMAT::Quant::ProblemSolving
"If a equals the sum of the even integers from 2 to 20, inclusive, and b equals the sum of the odd integers from 1 to 19, inclusive, what is the value of a - b ?",1,10,19,20,21,B,,GMAT::Quant::ProblemSolving
The cost to park a car in a certain parking garage is $8.00 for up to 2 hours of parking and $1.75 for each hour in excess of 2 hours.  What is the average (arithmetic mean) cost per hour to park a car in the parking garage for 9 hours?,$1.09,$1.67,$2.25,$2.37,$2.50,C,,GMAT::Quant::ProblemSolving
A set of 15 different integers has a median of 25 and a range of 25.  What is the greatest possible integer that could be in this set?,32,37,40,43,50,D,,GMAT::Quant::ProblemSolving
"If x and y are integers and 3^(x - 4) = 3^(y + 2), what is y in terms of x ?",x - 6,x - 5,x - 2,x + 2,x + 6,A,,GMAT::Quant::ProblemSolving
If (5^21)(4^11) = 2(10^n) what is the value of n ?,11,21,22,23,32,B,,GMAT::Quant::ProblemSolving
"The rate of a certain chemical reaction is directly proportional to the square of the concentration of chemical A present and inversely proportional to the concentration of chemical B present.  If the concentration of chemical B is increased by 100 percent, which of the following is closest to the percent change in the concentration of chemical A required to keep the reaction rate unchanged?",100% decrease,50% decrease,40% decrease,40% increase,50% increase,D,,GMAT::Quant::ProblemSolving
"In a survey of students, each student selected from a list of 12 songs the 2 songs that the student liked best.  If each song was selected 4 times, how many students were surveyed?",96,48,32,24,18,D,,GMAT::Quant::ProblemSolving
"Each of 10 machines works at the same constant rate doing a certain job.  The amount of time needed by the 10 machines, working together, to complete the job is 16 hours.  How many hours would be needed if only 8 of the machines, working together, were used to complete the job?",18,20,22,24,26,B,,GMAT::Quant::ProblemSolving
"Machine A, working alone at its constant rate, manufactures 280 bolts per hour, and machine B, working alone at its constant rate, manufactures 220 bolts per hour.  How many hours will it take for machines A and B, working together at their respective constant rates, to manufacture 1,000 bolts?",1,1.3,1.5,1.8,2,E,,GMAT::Quant::ProblemSolving
"A long-distance telephone company charges a monthly fee of $4.95 plus $0.07 per minute for long-distance telephone calls.  If a person&#x27;s long-distance telephone calls for a certain month totaled 320 minutes, what was the total amount that the telephone company charged the person for that month?",$22.90,$24.06,$25.87,$26.67,$27.35,E,,GMAT::Quant::ProblemSolving
"A certain library assesses fines for overdue books as follows.  On the first day that a book is overdue, the total fine is $0.10.  For each additional day that the book is overdue, the total fine is either increased by $0.30 or doubled, whichever results in the lesser amount.  What is the total fine for a book on the fourth day it is overdue?",$0.60,$0.70,$0.80,$0.90,$1.00,B,,GMAT::Quant::ProblemSolving
"A lawyer charges her clients $200 for the first hour of her time and $150 for each additional hour.  If the lawyer charged her new client $1,550 for a certain number of hours of her time, how much was the average (arithmetic mean) charge per hour?",$155,$160,$164,$172,$185,A,,GMAT::Quant::ProblemSolving
"Company C has a machine that, working alone at its constant rate, processes 100 units of a certain product in 5 hours.  If Company C plans to buy a new machine that will process this product at a constant rate and if the two machines, working together at their respective constant rates, are to process 100 units of this product in 2 hours, what should be the constant rate, in units per hour, of the new machine?",50,45,30,25,20,C,,GMAT::Quant::ProblemSolving
"A boat traveled upstream a distance of 90 miles at an average speed of (v - 3) miles per hour and then traveled the same distance downstream at an average speed of (v + 3) miles per hour.  If the trip upstream took half an hour longer than the trip downstream, how many hours did it take the boat to travel downstream?",2.5,2.4,2.3,2.2,2.1,A,,GMAT::Quant::ProblemSolving
"If n is a positive integer and the product of all the integers from 1 to n, inclusive, is a multiple of 990, what is the least possible value of n ?",10,11,12,13,14,B,,GMAT::Quant::ProblemSolving
"If 2^x - 2^(x - 2) = 3(2^13), what is the value of x ?",9,11,13,15,17,D,,GMAT::Quant::ProblemSolving
"If a, b, c, and d are consecutive even integers and a &lt; b &lt; c &lt; d, then a + b is how much less than c + d ?",2,4,6,8,10,D,,GMAT::Quant::ProblemSolving
"To furnish a room in a model home, an interior decorator is to select 2 chairs and 2 tables from a collection of chairs and tables in a warehouse that are all different from each other.  If there are 5 chairs in the warehouse and if 150 different combinations are possible, how many tables are in the warehouse?",6,8,10,15,30,A,,GMAT::Quant::ProblemSolving
The perimeter of a certain isosceles right triangle is16+16√2. What is the length of the hypotenuse of the triangle?,8,16,4√2,8√2,16√2,B,,GMAT::Quant::ProblemSolving
"At a repair shop, the total cost of a repair consists of the charge for parts and a charge of $22.00 per hour for labor.  If the total cost of a certain repair at the shop was $249.75 and the charge for parts was $150.75, then the labor charge was for how many hours of labor?",4.5,5,5.5,6.5,9,A,,GMAT::Quant::ProblemSolving
"Committee X has 4 members, committee Y has 5 members, and these committees have no members in common.  If a task force is to be formed consisting of one member of X and one member of Y, how many different task forces are possible?",6,9,10,20,36,D,,GMAT::Quant::ProblemSolving
Which of the following must be equal to (x^6)(x^4) ?,x^10,x^12,x^20,x^24,x^48,A,,GMAT::Quant::ProblemSolving
"If n and y are positive integers and 450y = n3, which of the following must be an integer?",None,I only,II only,III only,"I, II, and III",B,,GMAT::Quant::ProblemSolving
"In 1990 the budgets for projects Q and V were $660,000 and $780,000, respectively.  In each of the next 10 years, the budget for Q was increased by $30,000 and the budget for V was decreased by $10,000.  In which year was the budget for Q equal to the budget for V ?",1992,1993,1994,1995,1996,B,,GMAT::Quant::ProblemSolving
"A certain scholarship committee awarded scholarships in the amounts of $1,250, $2,500, and $4,000.  The committee awarded twice as many $2,500 scholarships as $4,000 scholarships, and it awarded three times as many $1,250 scholarships as $2,500 scholarships. If a total of $37,500 was awarded in $1,250 scholarships, how many $4,000 scholarships were awarded?",5,6,9,10,15,A,,GMAT::Quant::ProblemSolving
"The architects of a certain type of building estimate construction costs to be $2.0 million per floor for each of the first 5 floors, $2.5 million per floor for each of the next 3 floors, and $3.5 million per floor for any additional floors.  What would the architects estimate the construction costs to be for a building of this type with 10 floors?",$23.0 million,$23.5 million,$24.0 million,$24.5 million,$25.0 million,D,,GMAT::Quant::ProblemSolving
"Of the 13 employees in a certain department, 1 has an annual salary of $38,000, 2 have an annual salary of $45,000 each, 2 have an annual salary of $42,500 each, 3 have an annual salary of $40,000 each, and 5 have an annual salary of $48,500 each.  What is the median annual salary for the 13 employees?","$38,000","$40,000","$42,500","$45,000","$48,500",D,,GMAT::Quant::ProblemSolving
"Julia purchased a car on an installment plan.  She made a down payment of $2,550 and then made n monthly payments of $155 each.  If Julia paid a total of $9,060 for the car, how many monthly payments did she make?",30,36,42,48,54,C,,GMAT::Quant::ProblemSolving
"A metal company&#x27;s old machine makes bolts at a constant rate of 100 bolts per hour.  The company&#x27;s new machine makes bolts at a constant rate of 150 bolts per hour.  If both machines start at the same time and continue making bolts simultaneously, how many minutes will it take the two machines to make a total of 300 bolts?",36,72,120,144,180,B,,GMAT::Quant::ProblemSolving
"In a certain state, gasoline stations compute the price per gallon p, in dollars, charged at the pump by adding a 4 percent sales tax to the dealer&#x27;s price per gallon d, in dollars, and then adding a gasoline tax of $0.18 per gallon.  Which of the following gives the dealer&#x27;s price per gallon d in terms of the price per gallon p charged at the pump?",d = p - 0.22,d = P/ 1.22,d = (P/1.04) – 0.18,d = (P - 0.18)/1.04,d = (P-0.04)/1.18,D,,GMAT::Quant::ProblemSolving
"The main ingredient in a certain prescription drug capsule costs $500.00 per kilogram.  If each capsule contains 600 milligrams of the ingredient, what is the cost of the ingredient in a capsule? (1 kilogram = 10^6 milligrams)",$0.30,$0.83,$1.20,$3.00,$3.33,A,,GMAT::Quant::ProblemSolving
"If the operation ♁ is defined for all integers a and b by a♁b = a + b - ab which of the following statements must be true for all integers a, b, and c ?",I only,II only,I and II only,I and III only,"I, II, and III",E,,GMAT::Quant::ProblemSolving
"When a certain tree was first planted, it was 4 feet tall, and the height of the tree increased by a constant amount each year for the next 6 years.  At the end of the 6th year, the tree was 1/5 taller than it was at the end of the 4th year.  By how many feet did the height of the tree increase each year?",3/10,2/5,1/2,2/3,6/5,D,,GMAT::Quant::ProblemSolving
"Adam and Beth each drove from Smallville to Crown City by different routes.  Adam drove an an average speed of 40 miles per hour and completed the trip in 30 minutes.  Beth&#x27;s route was 5 miles longer, and it took her 20 minutes more than Adam to complete the trip.  How many miles per hour was Beth&#x27;s average speed on this trip?",24,30,48,54,75,B,,GMAT::Quant::ProblemSolving
"If two sides of a triangle have lengths 2 and 5, which of the following could be the perimeter of the triangle?<br>9<br>15<br>19",None,I only,II only,II and III only,"I, II, and III",A,,GMAT::Quant::ProblemSolving
"List K consists of 12 consecutive integers.  If -4 is the least integer in list K, what is the range of the positive integers in list K ?",5,6,7,11,12,B,,GMAT::Quant::ProblemSolving
"Three boxes of supplies have an average (arithmetic mean) weight of 7 kilograms and a median weight of 9 kilograms.  What is the maximum possible weight, in kilograms, of the lightest box?",1,2,3,4,5,C,,GMAT::Quant::ProblemSolving
"The table shows the number of shares of each of the 5 stocks owned by Mr. Sami.  If Mr. Sami was to sell 20 shares of Stock X and buy 24 shares of Stock Y, what would be the increase in the range of the numbers of shares of the 5 stocks owned by Mr. Sami?",4,6,9,15,20,D,,GMAT::Quant::ProblemSolving
"A certain company charges $6 per package to ship packages weighing less than 2 pounds each.  For a package weighing 2 pounds or more, the company charges an initial fee of $6 plus $2 per pound.  If the company charged $38 to ship a certain package, which of the following was the weight of the package, in pounds?",16,17,19,20,22,A,,GMAT::Quant::ProblemSolving
"A certain kennel will house 24 dogs for 7 days.  Each dog requires 10 ounces of dog food per day.  If the kennel purchases dog food in cases of 30 cans each and if each can holds 8 ounces of dog food, how many cases will the kennel need to feed all of the dogs for 7 days?",5,6,7,8,9,C,,GMAT::Quant::ProblemSolving
"Each year Mark works 40 hours per week for 50 weeks. Last year Mark was paid a total of $20,000.  If this year his hourly pay rate is raised by $0.50, what is the total amount that Mark will be paid this year?","$30,000","$25,000","$22,500","$21,000","$20,020",D,,GMAT::Quant::ProblemSolving
"A retailer sold an appliance for $80.  If the retailer&#x27;s gross profit on the appliance was 25 percent of the retailer&#x27;s cost for the appliance, how many dollars was the retailer&#x27;s gross profit?",$10,$16,$20,$24,$25,B,,GMAT::Quant::ProblemSolving
"If 0 &lt; r &lt; 1 &lt; s &lt; 2, which of the following must be less than 1 ?<br><br>r/s<br>rs<br>s - r",I only,II only,III only,I and II,I and III,A,,GMAT::Quant::ProblemSolving
"A certain company sold 800 units of its product for $8 each and 1,000 units of its product for $5 each.  If the company&#x27;s cost of producing each unit of its product was $6, what was the company&#x27;s profit or loss on the 1,800 units of its product?","$1,600 loss",$600 loss,No profit or loss,$600 profit,"$1,600 profit",D,,GMAT::Quant::ProblemSolving
"On a certain day, Tim invested $1,000 at 10 percent annual interest, compounded annually, and Lana invested $2,000 at 5 percent annual interest, compounded annually.  The total amount of interest earned by Tim&#x27;s investment in the first 2 years was how much greater than the total amount of interest earned by Lana&#x27;s investment in the first 2 years?",$5,$15,$50,$100,$105,A,,GMAT::Quant::ProblemSolving
"A basket contains 5 apples, of which 1 is spoiled and the rest are good.  If Henry is to select 2 apples from the basket simultaneously and at random, what is the probability that the 2 apples selected will include the spoiled apple?",1/5,3/10,2/5,1/2,3/5,C,,GMAT::Quant::ProblemSolving
"A certain state levies a 4 percent tax on the nightly rates of hotel rooms.  A certain hotel in this state also charges a $2.00 nightly fee per room, which is not subject to tax.  If the total charge for a room for one night was $74.80, what was the nightly rate of the room?",$68.00,$69.00,$70.00,$71.00,$72.00,C,,GMAT::Quant::ProblemSolving
"At what simple annual interest rate must $2,500 be invested if it is to earn $225 in interest in one year?",6%,7%,8%,9%,10%,D,,GMAT::Quant::ProblemSolving
"For every order, a certain mail-order company charges a shipping fee of $3 plus an additional $2 if the value of the order is over $50 but not over $100 or an additional $3 if the value of the order is over $100.  How much greater are the total shipping fees for 2 orders of $75 each than the total shipping fee for 1 order of $150 ?",$1,$2,$3,$4,$5,D,,GMAT::Quant::ProblemSolving
"A copy service charges $0.05 per copy for the first 100 copies, $0.04 per copy for the next 100 copies, and $0.03 per copy for all copies thereafter.  What would the copy service charge for 350 copies?",$10.50,$11.50,$12.00,$13.00,$13.50,E,,GMAT::Quant::ProblemSolving
"If w, x, and y are consecutive odd positive integers and w &lt; x &lt; y, which of the following could be equal to y - x - w ?",-4,-2,-1,0,3,C,,GMAT::Quant::ProblemSolving
"A certain telephone company offers two plans, A and B.  Under plan A, the company charges a total of $0.60 for the first 7 minutes of each call and $0.06 per minute thereafter.  Under plan B, the company charges $0.08 per minute of each call.  What is the duration of a call, in minutes, for which the company charges the same amount under plan A and under plan B ?",2,9,15,21,30,B,,GMAT::Quant::ProblemSolving
"A pair of shoes is on sale for $60.  If this price is 20 percent less than the regular price of the shoes, what is the regular price of the shoes?",$72,$75,$80,$96,$108,B,,GMAT::Quant::ProblemSolving
Which of the following lists the number of points at which a circle can intersect a triangle?,2 and 6 only,"2, 4, and 6 only","1, 2, 3, and 6 only","1, 2, 3, 4, and 6 only","1, 2, 3, 4, 5, and 6",E,,GMAT::Quant::ProblemSolving
"If Sally drives at a constant speed of 50 miles per hour, how many minutes will be required for her to drive 10 miles?",9,10,11,12,13,D,,GMAT::Quant::ProblemSolving
"For any positive integer n, the length of n is defined as the number of prime factors whose product is n.  For example, the length of 75 is 3, since 75 = 3 ?? 5 ?? 5.  How many two-digit positive integers have length 6 ?",None,One,Two,Three,Four,C,,GMAT::Quant::ProblemSolving
"A company wants to buy computers and printers for a new branch office, and the number of computers can be at most 3 times the number of printers.  Computers cost $1,500 each, and printers cost $300 each.  What is the greatest number of computers that the company can buy if it has a total of $9,100 to spend on computers and printers?",2,3,4,5,6,D,,GMAT::Quant::ProblemSolving
"A fast-food company plans to build 4 new restaurants.  If there are 12 sites that satisfy the company&#x27;s criteria for location of new restaurants, in how many different ways can the company select the 4 sites needed for the new restaurants if the order of selection does not matter?",48,288,495,990,"11,880",C,,GMAT::Quant::ProblemSolving
"If n denotes a number to the left of 0 on the number line such that the square of n is less than  1/100, then the reciprocal of n must be",less than -10,between -1 and,between   and 0,between 0 and,greater than 10,A,,GMAT::Quant::ProblemSolving
An investor purchased 20 shares of a certain stock at a price of $45.75 per share.  Later this investor purchased 30 more shares at a price of $46.25 per share.  What was the average (arithmetic mean) price per share that this investor paid for the 50 shares?,$45.80,$45.95,$46.00,$46.05,$46.20,D,,GMAT::Quant::ProblemSolving
What is the number of different committees of 4 people that can be selected from a group of 10 people?,20,40,80,120,210,E,,GMAT::Quant::ProblemSolving
"If x = kc and y = kt, then y - x =",k(t - c),k(c - t),c(k - t),t(k - c),k(1 - t),A,,GMAT::Quant::ProblemSolving
"A certain business produced x rakes each month from November through February and shipped 0.5x rakes at the beginning of each month from March through October.  The business paid no storage costs for the rakes from November through February, but it paid storage costs of $0.10 per rake each month from March through October for the rakes that had not been shipped.  In terms of x, what was the total storage cost, in dollars, that the business paid for the rakes for the 12 months from November through October?",0.40x,1.20x,1.40x,1.60x,3.20x,C,,GMAT::Quant::ProblemSolving
"A certain company sold 1,000 blenders at $100 each and 10 stoves at $1,000 each.  If the company&#x27;s total cost for the blenders and stoves was $50,000, what was the company&#x27;s total gross profit on these items?","$10,000","$20,000","$30,000","$50,000","$60,000",E,,GMAT::Quant::ProblemSolving
"A college admissions officer predicts that 20 percent of the students who are accepted will not attend the college.  According to this prediction, how many students should be accepted to achieve a planned enrollment of x students?",1.05x,1.1x,1.2x,1.25x,1.8x,D,,GMAT::Quant::ProblemSolving
"The arithmetic mean and standard deviation of a certain normal distribution are 13.5 and 1.5, respectively.  What value is exactly 2 standard deviations less than the mean?",10.5,11.0,11.5,12.0,12.5,A,,GMAT::Quant::ProblemSolving
"If a coin has an equal probability of landing heads up or tails up each time it is flipped, what is the probability that the coin will land heads up exactly twice in 3 consecutive flips?",0.125,0.25,0.375,0.50,0.666,C,,GMAT::Quant::ProblemSolving
"A certain bakery has 6 employees.  It pays annual salaries of $14,000 to each of 2 employees, $16,000 to 1 employee, and $17,000 to each of the remaining 3 employees.  The average (arithmetic mean) annual salary of these employees is closest to which of the following?","$15,200","$15,500","$15,800","$16,000","$16,400",C,,GMAT::Quant::ProblemSolving
"If x is equal to the sum of the even integers from 40 to 60, inclusive, and y is the number of even integers from 40 to 60, inclusive, what is the value of x + y ?",550,551,560,561,572,D,,GMAT::Quant::ProblemSolving
Which of the following is equal to the average (arithmetic mean) of (x + 2)^2 and (x - 2)^2 ?,x^2,x^2 + 2,x^2 + 4,x^2 + 2x,x^2 + 4x,C,,GMAT::Quant::ProblemSolving
"The 15 homes in a new development are each to be sold for one of three different prices so that the developer receives an average (arithmetic mean) of $200,000 per home.  If 4 of the homes are to be sold for $170,000 each and 5 are to be sold for $200,000 each, what will be the selling price of each of the remaining 6 homes?","$200,000","$210,000","$215,000","$220,000","$230,000",D,,GMAT::Quant::ProblemSolving
"The cost of picture frame M is $10.00 less than 3 times the cost of picture frame N.  If the cost of frame M is $50.00, what is the cost of frame N ?",$13.33,$16.66,$20.00,$26.66,$40.00,C,,GMAT::Quant::ProblemSolving
"In a certain furniture store, each week Nancy earns a salary of $240 plus 5 percent of the amount of her total sales that exceeds $800 for the week.  If Nancy earned a total of $450 one week, what were her total sales that week?","$2,200","$3,450","$4,200","$4,250","$5,000",E,,GMAT::Quant::ProblemSolving
"The sum of the first 50 positive even integers is 2,550.  What is the sum of the even integers from 102 to 200, inclusive?","5,100","7,550","10,100","15,500","20,100",B,,GMAT::Quant::ProblemSolving
"A salesperson received a commission of 3 percent of the sale price for each of the first 100 machines that she sold and 4 percent of the sale price for each machine that she sold after the first 100.  If the sale price of each machine was $10,000 and the salesperson received a $36,000 commission, how many machines did she sell?",90,103,105,115,120,D,,GMAT::Quant::ProblemSolving
"From a group of 21 astronauts that includes 12 people with previous experience in space flight, a 3-person crew is to be selected so that exactly 1 person in the crew has previous experience in space flight.  How many different crews of this type are possible?",432,594,864,"1,330","7,980",A,,GMAT::Quant::ProblemSolving
"If (2^x)(3^y) = 288, where x and y are positive integers, then [2^(x - 1)][3^(y - 2)] =",16,24,48,96,144,A,,GMAT::Quant::ProblemSolving
"If EMBED Equation.DSMT4 - EMBED Equation.DSMT4 = 162, then x(x - 1) =",12,16,20,30,81,C,,GMAT::Quant::ProblemSolving
"The maximum temperatures, in degrees Fahrenheit, recorded in a city on 5 consecutive days were x + 3, 95, 87, x + 7, and x.  If the average (arithmetic mean) of these temperatures was 90 degrees Fahrenheit, what is the value of x ?",85,86,87,88,89,B,,GMAT::Quant::ProblemSolving
"If (2^x)(2^y) = 8 and (9^x)(3^y) = 81, then (x, y) =","(1, 2)","(2, 1)","(1, 1)","(2, 2)","(1, 3)",A,,GMAT::Quant::ProblemSolving
"Of the 800 employees of Company X, 70 percent have been with the company for at least ten years.  If y of these &quot;long-term&quot; members were to retire and no other employee changes were to occur, what value of y would reduce the percent of &quot;long-term&quot; employees in the company to 60 percent?",200,160,112,80,56,A,,GMAT::Quant::ProblemSolving
"A television manufacturer produces 600 units of a certain model each month at a cost to the manufacturer of $90 per unit and all of the produced units are sold each month.  What is the minimum selling price per unit that will ensure that the monthly profit (revenue from sales minus the manufacturer&#x27;s cost to produce) on the sales of these units will be at least $42,000 ?",$110,$120,$140,$160,$180,D,,GMAT::Quant::ProblemSolving
"In May Mrs. Lee&#x27;s earnings were 60 percent of the Lee family&#x27;s total income.  In June Mrs. Lee earned 20 percent more than in May.  If the rest of the family&#x27;s income was the same both months, then, in June, Mrs. Lee&#x27;s earnings were approximately what percent of the Lee family&#x27;s total income?",64%,68%,72%,76%,80%,A,,GMAT::Quant::ProblemSolving
"For one toss of a certain coin, the probability that the outcome is heads is 0.6.  If this coin is tossed 5 times, which of the following is the probability that the outcome will be heads at least 4 times?",(0.6)^5,2(0.6)^4,3(0.6)^4(0.4),4(0.6)^4(0.4) + (0.6)^5,5(0.6)^4(0.4) + (0.6)^5,E,,GMAT::Quant::ProblemSolving
"A certain car averages 25 miles per gallon of gasoline when driven in the city and 40 miles per gallon when driven on the highway.  According to these rates, which of the following is closest to the number of miles per gallon that the car averages when it is driven 10 miles in the city and then 50 miles on the highway?",28,30,33,36,38,D,,GMAT::Quant::ProblemSolving
"On his drive to work, Leo listens to one of three radio stations, A, B, or C.  He first turns to A.  If A is playing a song he likes, he listens to it; if not, he turns to B.  If B is playing a song he likes, he listens to it; if not, he turns to C.  If C is playing a song he likes, he listens to it; if not, he turns off the radio.  For each station, the probability is 0.30 that at any given moment the station is playing a song Leo likes.  On his drive to work, what is the probability that Leo will hear a song he likes?",0.027,0.090,0.417,0.657,0.900,D,,GMAT::Quant::ProblemSolving
"If $1,000 was invested at an annual interest rate of 5.6 percent compounded annually, which of the following represents the amount the investment was worth after 3 years?","$1,000(1.056)(3)","$1,000(3 + 1.056)","$1,000[1 + 3(0.056)]","$1,000[1 + (0.056)^3]","$1,000(1.056)^3",E,,GMAT::Quant::ProblemSolving
A certain candy manufacturer reduced the weight of Candy Bar M by 20 percent but left the price unchanged.  What was the resulting percent increase in the price per ounce of Candy Bar M ?,5%,10%,15%,20%,25%,E,,GMAT::Quant::ProblemSolving
"The total of Company C&#x27;s assets in 1994 was 300 percent greater than the total in 1993, which in turn was 400 percent greater than the total in 1992.  If the total of Company C&#x27;s assets in 1992 was N dollars, which of the following represents the total of Company C&#x27;s assets, in dollars, in 1994 ?",7N,8N,9N,12N,20N,E,,GMAT::Quant::ProblemSolving
The contents of a certain box consist of 14 apples and 23 oranges.  How many oranges must be removed from the box so that 70 percent of the pieces of fruit in the box will be apples?,3,6,14,17,20,D,,GMAT::Quant::ProblemSolving
"Each unit of a certain product costs a manufacturer $9 to produce.  The manufacturer sells the product in boxes of 50 units for $560 per box.  How many boxes of the product does the manufacturer need to sell to yield a profit of $110,000 ?",90,100,900,"1,000","1,100",D,,GMAT::Quant::ProblemSolving
2 + 2 + 2^2 + 2^3 + 2^4 + 2^5 + 2^6 + 2^7 + 2^8 =,2^9,2^10,2^16,2^35,2^37,A,,GMAT::Quant::ProblemSolving
"A certain store found that last year the average (arithmetic mean) monthly sales from January through October was $120,000.  In November and December, the monthly sales were 3 and 5 times, respectively, the average for the other 10 months.  What was the store&#x27;s average monthly sales last year?","$180,000","$216,000","$252,000","$318,000","$360,000",A,,GMAT::Quant::ProblemSolving
"A certain meter records voltage between 0 volts and 10 volts, inclusive.  If the average (arithmetic mean) value of 3 recordings on the meter was 8 volts, what was the smallest possible recording, in volts?",2,3,4,5,6,C,,GMAT::Quant::ProblemSolving
"The temperatures in degrees Celsius recorded at 6 in the morning in various parts of a certain country were 10, 5, -2, -1, -5, and 15.  What is the median of these temperatures?",-2,-1,2,3,5,C,,GMAT::Quant::ProblemSolving
"For a certain race, 3 teams were allowed to enter 3 members each.  A team earned 6 - n points whenever one of its members finished in nth place, where 1 &lt;= n &lt;= 5.  There were no ties, disqualifications, or withdrawals.  If no team earned more than 6 points, what is the least possible score a team could have earned?",0,1,2,3,4,D,,GMAT::Quant::ProblemSolving
"If xy + k = k and x is not 0, which of the following must be true?",x &gt; y,x + y = 0,y = 0,|x - y | = 0,xy = 1,C,,GMAT::Quant::ProblemSolving
"For each hour of production, a certain factory requires 1 assembly line worker for every 25 units to be produced in that hour.  The factory also requires 12 managers regardless of the number of units to be produced. Which of the following expressions represents the total number of assembly line workers and managers that this factory requires to produce 50N units in one hour, where N is a positive integer?",12 + 50N,12 + 2N,62N,37N,25N,B,,GMAT::Quant::ProblemSolving
"A certain farmer pays $30 per acre per month to rent farmland.  How much does the farmer pay per month to rent a rectangular plot of farmland that is 360 feet by 605 feet?<br>(43,560 square feet = 1 acre)","$5,330","$3,630","$1,350",$360,$150,E,,GMAT::Quant::ProblemSolving
"If n is a positive integer, which of the following must be an even integer?",n + 1,n + 2,n^2 + 2,n^2 + n,n^2 + 2n,D,,GMAT::Quant::ProblemSolving
"Of the 100 passengers who entered a railroad station, 10 passengers had 4 pieces of luggage each, 20 had 5 pieces of luggage each, 50 had 2 pieces of luggage each, and the rest had no luggage.  What was the average (arithmetic mean) number of pieces of luggage per passenger?",1,1.4,2,2.4,3,D,,GMAT::Quant::ProblemSolving
"A rectangular region has a fence along three sides and a wall along the fourth side.  The fenced side opposite the wall is twice the length of each of the other two fenced sides.  If the area of the rectangular region is 128 square feet, what is the total length of the fence, in feet?",4,8,16,32,64,D,,GMAT::Quant::ProblemSolving
"9.4  9.9  9.9  9.9  10.0  10.2  10.2  10.5<br>The mean and the standard deviation of the 8 numbers shown are 10.0 and 0.3, respectively.  What percent of the 8 numbers are within 1 standard deviation of the mean?",90%,85%,80%,75%,70%,D,,GMAT::Quant::ProblemSolving
"In May, Xiang sold 15 used cars.  For these 15 cars, the range of the selling prices was $15,000 and the lowest selling price was $4,500.  In June, Xiang sold 10 used cars.  For these 10 cars, the range of the selling prices was $16,500 and the lowest selling price was $6,100.  What was the range of the selling prices of the 25 used cars sold by Xiang in May and June?","$15,600","$15,750","$16,820","$18,100","$19,200",D,,GMAT::Quant::ProblemSolving
"A television network sells advertising time on a certain program at the rate of $10,000 per minute.  If the program is shown once a day for 5 days a week, what is the cost of advertising on this program for 3 weeks at 30 seconds per day?","$15,000","$25,000","$75,000","$90,000","$150,000",C,,GMAT::Quant::ProblemSolving
"If (400)(6,000) = (240)(100^x), what is the value of x ?",5,4,3,2,1,D,,GMAT::Quant::ProblemSolving
"If x is an even integer and y is an odd integer, which of the following is even?",3x + 4y - 1,3x + 3y - 2,4x + 4y + 1,4x + 3y + 2,4x + 3y + 1,E,,GMAT::Quant::ProblemSolving
